Company or Institution Name,Compensation - Overtime Pay,[Optional] Briefly describe your position,Timestamp,Compensation - Most recent annual yearly raise (%),Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Company Detail - Approximate Company Size,Company Details - public/private/start-up/ subsidiary of ,Compensation - Annual Base Salary/Pay,Compensation - Sign on Bonus Value,What country do you work in?,Where is the closest major city or hub?,List other relevant and recognized certifications,[Optional] Company Review,Compensation - Annual Target Bonus ($),Biotech sub industry?,Role / Title of current position,Years of Experience,What degrees do you have?,What degrees do you have? ,Compensation - Stock Options,Survey Feedback,Compensation - Annual Equity/Stock Option,Compensation - Annual Equity,Compensation - Retirement Percent Match (free text),Highest achieved Formal Education,[OPTIONAL] Sign on - Relocation Assistance Total Value,Where are you located?,Compensation - Sign on Stock/Equity Options,"[Optional] Work Life Balance - On average, how many hours do you work per week",Year,Hub Mapped,Hub Count,Hub Rank
Prefer not to say,N/A (no overtime/salaried),global head of clinical operations. Anything touching a clinical trial is under my preview. ,2023-08-31,5%,"401k match up to 3.5% salary, no premiums for health insurance, dental, vision (including family)",All premiums paid by company for family. ,50-200,Public,315000.0,40000,United States,San Diego,None,8/10,95000,Pharmaceutical (including “big pharma”),"SVP, clinical operations ",21,Masters or Equivalent,"","","","","","","","","","","",2023,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),,2023-08-31,5%,3% 401k match,,1-50,Start-up,230000.0,15000,United States,San Diego,None,,50000,Pharmaceutical (including “big pharma”),Director,11,PhD or Equivalent,"","","","","","","","","","","",2023,San Diego,116,2104.5
Prefer not to say,N/A (no overtime/salaried),,2023-09-12,5,,,50-200,Public,73500.0,0,United States,Boston,None,,6000,Pharmaceutical (including “big pharma”),Document Control Specialist,2,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Eisai,N/A (no overtime/salaried),,2023-09-17,Company/Institution does not have annual yearly raise,,,5000+,Private,80000.0,0,United States,NYC,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Clinical Data Coordinator,4,Masters or Equivalent,"","","","","","","","","","","",2023,New York,48,2368.5
Prefer not to say,N/A (no overtime/salaried),Lead development of therapeutic program.,2023-09-19,done on an individual basis,5% match 401k,"health, dental and eye coverage @ approx $300/month",1-50,Start-up,127000.0,0,united states,DC,None,,12750,Pharmaceutical (including “big pharma”),Sr. Scientist,5,PhD or Equivalent,"","","","","","","","","","","",2023,Baltimore/D.C./Maryland,22,2442.5
Prefer not to say,N/A (no overtime/salaried),Discovery Platforms Dev,2023-09-23,Have not been long enough to have an annual yearly raise,11%,,5000+,Public,110000.0,0,United States,Philadelphia,None,,13000,Pharmaceutical (including “big pharma”),Principal Scientist ,2,PhD or Equivalent,"","","","","","","","","","","",2023,Philadelphia,65,2195.0
Prefer not to say,1.5x,Performance of in-process and product release testing. Ensure product meets specifications,2023-09-29,"5%, not totally sure. Raises also personal, departmental, and company performance based","5% 401k match, roth IRAs available",Benefits comparable to industry - automatic $260 yearly contribution to HSA,5000+,Public,79000.0,10000,United States,Seattle,None,,"3,500",Pharmaceutical (including “big pharma”),Quality Control Associate II,6,Bachelors or Equivalent,"","","","","","","","","","","",2023,Seattle,56,2316.5
Takeda,N/A (no overtime/salaried),"Medical affairs role.  Strategy, SME, interface with cross functional teams",2023-10-01,3%,6%,,5000+,Public,205000.0,10000,United States,Boston,None,,STIP 20% LTIP $45k/yr,Pharmaceutical (including “big pharma”),Associate Scientific Director,5,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Abbvie,N/A (no overtime/salaried),R&D,2023-10-01,Have not been long enough to have an annual yearly raise,6%,,5000+,Public,250000.0,105000,United States,Chicago,None,,30%,Pharmaceutical (including “big pharma”),Assoc Medical Director,6,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2023,Chicago,20,2484.5
Merck,N/A (no overtime/salaried),,2023-10-01,Have not been long enough to have an annual yearly raise,"4.5% 401k match, pension",BCBS,5000+,Public,105000.0,0,United States,Philadelphia,None,,10500,Pharmaceutical (including “big pharma”),"Specialist, Clinical Operations",4,Bachelors or Equivalent,"","","","","","","","","","","",2023,Philadelphia,65,2195.0
Generate Biomedicines ,N/A (no overtime/salaried),,2023-10-10,Have not been long enough to have an annual yearly raise,,,200-1000,Private,110000.0,0,United States,Boston,None,,8000,Pharmaceutical (including “big pharma”),Scientist I,3,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Miltenyi Biotec/Lentigen,1.5x,,2023-10-12,Have not been long enough to have an annual yearly raise,"Match base on total contribution, typically 75-100%","Free dental and vision, $25 a month HDP",1000-5000,Private,72000.0,0,United States,Washington DC,None,,7000,Pharmaceutical (including “big pharma”),Process Development Associate I,1,Masters or Equivalent,"","","","","","","","","","","",2023,Baltimore/D.C./Maryland,22,2442.5
TriLink Biotechnologies,"1.5, CA Laws",,2023-10-14,3,401k matches up to 7%,HSA/PPA ~60/mo,200-1000,Subsidiary,62400.0,0,United States,San Diego,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Manufacturing Associate II,6,Bachelors or Equivalent,"","","","","","","","","","","",2023,San Diego,116,2104.5
Seagen,N/A (no overtime/salaried),In-process testing ,2023-10-18,3000,,,1000-5000,Private,67000.0,0,United States,Seattle,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Research associate I,2,Bachelors or Equivalent,"","","","","","","","","","","",2023,Seattle,56,2316.5
Prefer not to say,N/A (no overtime/salaried),,2023-10-18,Company/Institution does not have annual yearly raise,,,1-50,Private,130000.0,0,United States,Bay Area,None,,13000,Pharmaceutical (including “big pharma”),"Senior Manager, Talent Acquisition",11,Masters or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Just-Evotec Biologics,N/A (no overtime/salaried),Purification Process Development for manufacturing pharmaceutical biologics ,2023-10-22,5%,Matching up to 6% of paycheck. ,"Two levels of healthcare, as well as dental and eye. Yearly health fund.",200-1000,Public,125000.0,20000,United States,Seattle,None,"10/10, a great company ",10000,Pharmaceutical (including “big pharma”),Sr. Scientist,5,PhD or Equivalent,"","","","","","","","","","","",2023,Seattle,56,2316.5
Prefer not to say,1.5x base ,,2023-10-23,3.25,6% 401k match,,5000+,Private,76500.0,0,United States,St Louis,None,,7500,Pharmaceutical (including “big pharma”),Scientist II,8,Bachelors or Equivalent,"","","","","","","","","","","",2023,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2023-10-24,5%,6% 401k match + pension,$800/yr company funded HSA,5000+,Public,85000.0,0,United States,Indianapolis,None,The compensation and benefits does the talking. Paying employees well creates an excellent culture. ,9000,Pharmaceutical (including “big pharma”),Quality Assurance Representative,1,Bachelors or Equivalent,"","","","","","","","","","","",2023,Indianapolis,7,2545.0
Genentech,N/A (no overtime/salaried),,2023-10-24,Have not been long enough to have an annual yearly raise,,,5000+,Public,90000.0,0,United States,San Diego,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Engineer I,1,Bachelors or Equivalent,"","","","","","","","","","","",2023,San Diego,116,2104.5
Novartis,1.5,Manage High Throughput Assays and assist with setup of other assays,2023-10-24,Have not been long enough to have an annual yearly raise,401k match 10%,HSA contributions,5000+,Private,65000.0,0,United States,Cambridge,None,Pretty good,Not Applicable/None,Pharmaceutical (including “big pharma”),Associate Scientist II,3,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Novartis,N/A (no overtime/salaried),,2023-10-25,Have not been long enough to have an annual yearly raise,,,5000+,Public,13500.0,20000,United States,Boston,None,,13500,Pharmaceutical (including “big pharma”),Expert II,1,PhD or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),MSAT upstream lab support,2023-10-26,Have not been long enough to have an annual yearly raise,100% match up to 5.5%,,1000-5000,Public,155000.0,40000,United States,Seattle,None,,20150,Pharmaceutical (including “big pharma”),Sr. Scientist,9,Masters or Equivalent,"","","","","","","","","","","",2023,Seattle,56,2316.5
Prefer not to say,N/A (no overtime/salaried),Support digitalization and AI ,2023-10-27,Have not been long enough to have an annual yearly raise,5%,,5000+,Public,150000.0,15000,United States,CA,None,Pretty good so far,20000,Pharmaceutical (including “big pharma”),Data Scientist,10,Masters or Equivalent,"","","","","","","","","","","",2023,,1410,705.5
Sana Biotechnology,N/A (no overtime/salaried),Managed 2 RAs and worked at the bench,2023-10-27,3%,"401k match to $4,000",,200-1000,Public,172500.0,0,United States,San Francisco,None,Do or die moment,25875,Pharmaceutical (including “big pharma”),Sr. Scientist ,4,PhD or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Moderna,N/A (no overtime/salaried),Routine testing/analytical development,2023-10-27,Have not been long enough to have an annual yearly raise,,,1000-5000,Public,82000.0,0,United States,Boston,None,,4%,Pharmaceutical (including “big pharma”),Research Associate,1,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
KBI Biopharma,N/A (no overtime/salaried),Scientist I Analytical Experience,2023-10-27,7,5% of salary 401K match,,1000-5000,Subsidiary,95000.0,0,United States,Research Triangle,None,,4750,Pharmaceutical (including “big pharma”),Scientist I,3,Masters or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
Ppd,N/A (no overtime/salaried),X,2023-10-27,3,6%,Usual,5000+,Private,155000.0,15000,United States,Miami,None,,15000,Pharmaceutical (including “big pharma”),Senior Trial Manager,8,Bachelors or Equivalent,"","","","","","","","","","","",2023,Miami,3,2583.5
Prefer not to say,N/A (no overtime/salaried),,2023-10-27,3.50%,6% 401k Match,Good Health Benefits,1000-5000,Public,172000.0,0,United States,Bay Area,None,,35000,Pharmaceutical (including “big pharma”),"Associate Director, Regulatory Affairs",8,Bachelors or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
Bristol Myers Squibb,N/A (no overtime/salaried), ,2023-10-27,2%,6% 401k match,50% deductable match in HSA,5000+,Public,100000.0,0,United States,Boston,None,I think the culture of working at BMS is overall very positive.  ,8000,Pharmaceutical (including “big pharma”),Manager of Data Analytics,4,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-10-27,2,401k match 100% up to 3% ,,5000+,Public,84000.0,0,United States,Boston,None,,5800,Pharmaceutical (including “big pharma”),Sr. Associate Scientist,3,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
KBI,N/A (no overtime/salaried),Project lead for analytical development,2023-10-29,Have not been long enough to have an annual yearly raise,6,$2800 towards HSA. Cover 90% of plan costs,1000-5000,Public,107000.0,0,United States,Research Triangle,None,,2500,Pharmaceutical (including “big pharma”),Scientist Ii,4,PhD or Equivalent,"","","","","","","","","","","",2023,Research Triangle,61,2258.0
Moderna,N/A (no overtime/salaried),,2023-10-29,Have not been long enough to have an annual yearly raise,"100% match for first 3%, 50% match past 3% to 6%",,5000+,Public,80000.0,5000,United States,Boston,None,,6400,Pharmaceutical (including “big pharma”),"Research Associate, Process Development (Tech Dev Rotational Program)",0,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Syner-G Biopharma Group,N/A (no overtime/salaried),Sr. Regulatory Affairs Consultant - Pre and post approval submissions for small molecule products,2023-10-30,7%,3% match 401k,"$95/pay period (semi monthly) 2900 deductible  - health, dental, vision, HSA, and life insurance 1.5x pay.",200-1000,Private,95000.0,0,United States,Boston (company location) - company is WFH,None," 4 weeks PTO, 13 paid holidays, good raises and bonuses. Work-life balance is good, you rarely work over 40 hours. Company 7/10. ",10%,Pharmaceutical (including “big pharma”),Senior Regulatory Affairs Consultant,10,Bachelors or Equivalent,"","","","","","","","","","","",2023,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),,2023-10-30,5,401K match to 5%,100% employer covered health insurance ,50-200,Public,150000.0,0,United States,Los Angeles,CQA,,18000,Pharmaceutical (including “big pharma”),Sr Manager QA,25,Bachelors or Equivalent,"","","","","","","","","","","",2023,Los Angeles,39,2412.0
Prefer not to say,N/A (no overtime/salaried),,2023-10-30,5,4.50%,"$500 family deductible PPO, $10000 max OOP",1000-5000,Public,128000.0,10000,United States,Boston,None,,19000,Pharmaceutical (including “big pharma”),Manager,9,Bachelors or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,1.5,Research Associate - Process analytics: test product samples for manufacturing team,2023-10-30,Have not been long enough to have an annual yearly raise,,,200-1000,Private,76000.0,0,United states,Denver,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Research Associate,0,Bachelors or Equivalent,"","","","","","","","","","","",2023,Denver,10,2529.5
Pfizer,N/A (no overtime/salaried),Scientist - laboratory work and presenting on development of small molecules for pharmaceuticals,2023-10-30,Have not been long enough to have an annual yearly raise,4.5% 401K match,,5000+,Private,105000.0,10000,United States,Boston,None,"Great colleagues, but lots of reorgs","$10,000",Pharmaceutical (including “big pharma”),Scientist,9,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
IQVIA ,N/A (no overtime/salaried),Sr CRA with 15 years experience ,2023-10-31,Have not been long enough to have an annual yearly raise,6% 401k,N/A did not enroll,5000+,Public,140000.0,5000,United States,Charlotte,None,,140000,Pharmaceutical (including “big pharma”),Sr Clinical Research Associate,15,Bachelors or Equivalent,"","","","","","","","","","","",2023,,1410,705.5
Prefer not to say,N/A (no overtime/salaried),Controller,2023-10-31,4%,3% 401k match,Cover 85% of medical costs ,50-200,Public,195000.0,0,United States,Boston,None,,20%,Pharmaceutical (including “big pharma”),Director of Accounting ,11,Masters or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-11-01,Have not been long enough to have an annual yearly raise,,,5000+,Public,80000.0,0,United States,Boston,None,,Not Applicable/None,Pharmaceutical (including “big pharma”),Compliance nvestigator,5,Associate’s Degree or Equivalent,"","","","","","","","","","","",2023,Boston/Cambridge,385,1603.0
Prefer not to say,N/A (no overtime/salaried),,2023-11-01,6%,Match 401K up to 6%,"Health Insurance, company pays $1200/yr into HSA",1000-5000,Public,9200.0,0,United States,Bay Area,None,,10,Pharmaceutical (including “big pharma”),Research Associate 2,5,Bachelors or Equivalent,"","","","","","","","","","","",2023,Bay Area,251,1921.0
